YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2023,8,1,448.0,449.9,445.02,446.92,200721
2023,8,2,446.51,454.98,446.51,453.09,321800
2023,8,3,454.0,455.75,445.16,449.23,290291
2023,8,4,450.0,450.0,443.0,444.25,84465
2023,8,5,450.0,450.0,443.0,444.25,84465
2023,8,6,450.0,450.0,443.0,444.25,84465
2023,8,7,442.51,446.0,439.0,441.75,154228
2023,8,8,439.52,443.0,430.0,431.58,81783
2023,8,9,431.05,435.0,428.0,431.46,148768
2023,8,10,434.0,434.9,423.0,424.83,107908
2023,8,11,429.0,431.5,421.1,425.6,170867
2023,8,12,429.0,431.5,421.1,425.6,170867
2023,8,13,429.0,431.5,421.1,425.6,170867
2023,8,14,429.0,431.5,421.1,425.6,170867
2023,8,15,428.0,455.0,426.5,446.33,507246
2023,8,16,447.0,453.98,445.5,450.07,568355
2023,8,17,450.5,475.0,448.15,466.04,920006
2023,8,18,471.0,476.55,460.5,464.7,410510
2023,8,19,471.0,476.55,460.5,464.7,410510
2023,8,20,471.0,476.55,460.5,464.7,410510
2023,8,21,465.0,467.5,458.0,464.45,311171
2023,8,22,465.0,467.0,461.0,463.39,88998
2023,8,23,464.02,466.98,455.0,459.55,221869
2023,8,24,460.1,475.0,459.56,467.19,402591
2023,8,25,464.15,470.0,462.0,467.28,158541
2023,8,26,464.15,470.0,462.0,467.28,158541
2023,8,27,464.15,470.0,462.0,467.28,158541
2023,8,28,465.1,472.5,464.1,465.33,138534
2023,8,29,440.0,448.0,430.43,430.89,1665723
2023,8,30,429.0,439.5,423.8,426.97,315307
2023,8,31,428.0,431.97,422.1,429.42,295717
