YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2021,5,1,432.0,432.0,417.0,423.65,23000
2021,5,2,432.0,432.0,417.0,423.65,23000
2021,5,3,420.0,455.42,419.98,445.22,79200
2021,5,4,453.99,454.85,446.0,450.53,113500
2021,5,5,451.0,455.0,447.0,450.09,110500
2021,5,6,448.5,453.0,446.4,449.36,235000
2021,5,7,448.5,453.0,446.4,449.36,235000
2021,5,8,448.5,453.0,446.4,449.36,235000
2021,5,9,448.5,453.0,446.4,449.36,235000
2021,5,10,448.5,453.0,446.4,449.36,235000
2021,5,11,448.5,453.0,446.4,449.36,235000
2021,5,12,448.5,453.0,446.4,449.36,235000
2021,5,13,448.5,453.0,446.4,449.36,235000
2021,5,14,448.5,453.0,446.4,449.36,235000
2021,5,15,448.5,453.0,446.4,449.36,235000
2021,5,16,448.5,453.0,446.4,449.36,235000
2021,5,17,450.36,455.8,439.02,450.35,57900
2021,5,18,442.0,449.0,440.25,443.3,137500
2021,5,19,440.01,441.99,435.0,437.43,11900
2021,5,20,438.0,438.0,412.05,428.65,56300
2021,5,21,427.0,434.85,425.1,431.28,54900
2021,5,22,427.0,434.85,425.1,431.28,54900
2021,5,23,427.0,434.85,425.1,431.28,54900
2021,5,24,436.99,451.0,430.0,443.93,289400
2021,5,25,445.0,452.0,444.3,450.18,292400
2021,5,26,454.0,460.0,450.0,457.96,144900
2021,5,27,457.02,457.02,450.0,455.15,294300
2021,5,28,451.1,489.28,451.1,479.51,986600
2021,5,29,451.1,489.28,451.1,479.51,986600
2021,5,30,451.1,489.28,451.1,479.51,986600
2021,5,31,482.5,491.75,476.0,487.61,257000
