YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2021,7,1,556.1,570.0,556.1,564.9,68000
2021,7,2,564.99,568.0,560.15,564.02,44700
2021,7,3,564.99,568.0,560.15,564.02,44700
2021,7,4,564.99,568.0,560.15,564.02,44700
2021,7,5,558.1,567.99,558.0,560.09,47600
2021,7,6,561.0,563.0,557.0,558.46,50900
2021,7,7,560.0,560.0,551.0,558.86,30000
2021,7,8,559.99,580.0,559.99,576.94,161800
2021,7,9,575.0,580.0,560.0,568.28,120900
2021,7,10,575.0,580.0,560.0,568.28,120900
2021,7,11,575.0,580.0,560.0,568.28,120900
2021,7,12,568.25,570.0,563.0,567.99,59900
2021,7,13,564.5,582.0,564.5,577.42,60500
2021,7,14,588.99,588.99,577.9,580.25,126900
2021,7,15,581.01,585.4,576.0,584.97,72600
2021,7,16,585.0,628.84,585.0,609.58,600900
2021,7,17,585.0,628.84,585.0,609.58,600900
2021,7,18,585.0,628.84,585.0,609.58,600900
2021,7,19,655.0,655.0,607.0,613.26,565300
2021,7,20,655.0,655.0,607.0,613.26,565300
2021,7,21,655.0,655.0,607.0,613.26,565300
2021,7,22,655.0,655.0,607.0,613.26,565300
2021,7,23,612.97,628.0,612.0,621.35,224800
2021,7,24,612.97,628.0,612.0,621.35,224800
2021,7,25,612.97,628.0,612.0,621.35,224800
2021,7,26,624.0,630.99,624.0,628.0,208000
2021,7,27,649.9,649.9,629.5,643.53,306100
2021,7,28,640.0,650.0,630.0,635.83,51000
2021,7,29,632.0,639.0,628.0,636.71,39000
2021,7,30,637.0,650.0,630.0,633.66,175400
2021,7,31,637.0,650.0,630.0,633.66,175400
