YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2022,8,1,347.64,360.4,347.64,354.72,516580
2022,8,2,351.0,360.5,351.0,356.92,248289
2022,8,3,357.2,363.99,357.2,361.66,441099
2022,8,4,364.99,364.99,358.5,359.78,221746
2022,8,5,360.0,361.01,351.0,359.94,192701
2022,8,10,360.0,368.2,360.0,364.12,541781
2022,8,11,366.4,366.4,358.0,358.45,454164
2022,8,12,359.7,364.0,356.5,360.66,107832
2022,8,15,364.0,368.0,360.0,365.69,562902
2022,8,16,366.1,368.0,361.0,361.44,228465
2022,8,17,359.0,388.54,359.0,382.82,784230
2022,8,18,386.0,387.9,370.0,371.79,589817
2022,8,19,372.0,377.9,368.6,375.06,229640
2022,8,22,370.05,374.8,368.0,370.56,198859
2022,8,23,377.0,381.25,372.5,380.18,701588
2022,8,24,388.0,397.5,382.1,391.12,1295827
2022,8,25,391.99,393.55,388.0,389.07,560428
2022,8,26,389.0,397.9,382.3,383.38,975580
2022,8,29,382.25,394.78,372.0,390.43,846475
2022,8,30,400.0,401.0,391.0,394.15,971956
2022,8,31,392.05,403.0,391.0,397.71,977122
