YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2022,5,6,387.0,387.0,370.0,371.84,260105
2022,5,9,369.99,369.99,344.0,345.46,844360
2022,5,10,347.0,350.0,339.25,341.2,326352
2022,5,11,344.49,345.0,320.5,334.94,516537
2022,5,12,331.01,339.9,321.33,337.07,230475
2022,5,13,337.0,346.0,331.1,342.67,314661
2022,5,16,330.12,336.0,321.2,325.38,169251
2022,5,17,325.0,330.99,322.13,328.05,330334
2022,5,18,331.9,334.0,324.06,332.31,1021169
2022,5,19,330.0,338.9,328.0,331.88,1002228
2022,5,20,332.0,337.0,332.0,335.38,367505
2022,5,23,326.0,330.0,320.55,321.87,139001
2022,5,24,312.0,321.87,297.99,299.01,1789949
2022,5,25,296.1,313.9,281.0,301.59,1621976
2022,5,26,302.0,324.2,300.01,324.2,811886
2022,5,27,344.99,348.51,328.0,328.92,952772
2022,5,30,327.0,340.72,327.0,334.21,358905
2022,5,31,339.0,343.99,337.03,340.54,290431
