YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2022,12,1,500.0,507.9,499.0,502.57,336647
2022,12,2,501.01,505.0,494.01,497.33,323112
2022,12,5,498.0,498.88,482.0,483.45,258101
2022,12,6,482.5,489.0,481.0,486.0,263548
2022,12,7,485.0,492.0,484.95,489.45,390834
2022,12,8,491.5,492.0,485.0,485.28,100401
2022,12,9,485.0,487.5,480.4,485.18,135048
2022,12,12,485.0,490.51,484.0,489.07,210701
2022,12,13,486.01,494.8,486.01,492.15,260410
2022,12,14,492.2,513.0,492.15,509.25,861114
2022,12,15,510.0,512.49,500.0,501.99,491427
2022,12,16,501.5,519.6,501.0,514.9,601147
2022,12,19,514.44,520.55,509.0,509.76,225118
2022,12,20,512.9,512.9,486.0,492.82,564124
2022,12,21,489.0,500.0,488.5,490.2,223232
2022,12,22,492.0,499.99,488.62,496.82,320302
2022,12,23,498.0,498.0,486.0,486.84,328442
2022,12,26,488.0,495.0,482.14,484.81,194753
2022,12,27,489.8,489.8,474.0,479.03,325373
2022,12,28,477.1,479.0,448.15,458.39,1117213
2022,12,29,464.5,478.25,450.0,476.2,617935
2022,12,30,479.88,490.0,473.58,483.93,388706
