YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2022,10,1,371.0,379.0,371.0,377.48,135527
2022,10,2,371.0,379.0,371.0,377.48,135527
2022,10,3,378.0,385.0,376.1,380.88,168221
2022,10,4,381.26,387.5,381.26,386.36,184475
2022,10,5,384.02,388.6,382.5,386.1,140313
2022,10,6,390.0,415.05,389.99,414.91,2152848
2022,10,7,415.01,440.0,413.1,417.14,2868362
2022,10,8,415.01,440.0,413.1,417.14,2868362
2022,10,9,415.01,440.0,413.1,417.14,2868362
2022,10,10,418.0,430.98,418.0,419.67,635317
2022,10,11,423.0,428.4,415.5,424.22,477932
2022,10,12,422.5,433.9,420.0,425.21,594745
2022,10,13,425.6,449.4,425.6,445.14,1633734
2022,10,14,445.14,446.0,435.0,436.11,523206
2022,10,15,445.14,446.0,435.0,436.11,523206
2022,10,16,445.14,446.0,435.0,436.11,523206
2022,10,17,435.0,445.49,428.0,441.88,773204
2022,10,18,444.44,453.6,441.01,442.15,857574
2022,10,19,443.0,444.84,436.1,441.32,126464
2022,10,20,441.25,446.8,428.98,430.82,794018
2022,10,21,431.0,434.7,422.0,431.77,256395
2022,10,22,431.0,434.7,422.0,431.77,256395
2022,10,23,431.0,434.7,422.0,431.77,256395
2022,10,24,436.0,438.5,430.13,433.61,163175
2022,10,25,433.0,433.0,428.01,430.97,139983
2022,10,26,428.9,441.4,427.1,433.4,582343
2022,10,27,435.0,439.0,429.1,435.71,366311
2022,10,28,436.0,445.96,430.49,436.96,551595
2022,10,29,436.0,445.96,430.49,436.96,551595
2022,10,30,436.0,445.96,430.49,436.96,551595
2022,10,31,439.98,444.66,436.6,443.72,204343
