YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2022,2,1,735.0,742.98,732.43,734.05,51391
2022,2,2,739.99,739.99,732.0,734.97,177131
2022,2,3,736.88,745.0,736.0,738.08,65818
2022,2,4,744.98,744.98,720.0,727.13,169782
2022,2,5,744.98,744.98,720.0,727.13,169782
2022,2,6,744.98,744.98,720.0,727.13,169782
2022,2,7,733.0,733.0,727.0,729.5,13214
2022,2,8,734.0,734.0,720.0,722.98,23063
2022,2,9,724.99,724.99,715.0,716.28,200973
2022,2,10,717.98,717.98,703.5,705.09,275290
2022,2,11,708.0,725.0,700.0,710.5,625034
2022,2,12,708.0,725.0,700.0,710.5,625034
2022,2,13,708.0,725.0,700.0,710.5,625034
2022,2,14,718.99,718.99,685.0,693.55,83127
2022,2,15,693.56,698.0,685.05,689.95,103705
2022,2,16,695.0,695.0,685.0,688.25,78774
2022,2,17,681.0,689.0,681.0,685.93,250797
2022,2,18,686.0,695.0,686.0,693.19,84855
2022,2,19,686.0,695.0,686.0,693.19,84855
2022,2,20,686.0,695.0,686.0,693.19,84855
2022,2,21,692.0,694.5,688.0,689.85,8831
2022,2,22,687.01,687.01,665.99,676.03,160008
2022,2,23,676.0,683.8,676.0,679.84,74231
2022,2,24,655.01,657.25,637.0,640.49,289439
2022,2,25,630.01,665.0,629.97,638.88,83955
2022,2,26,630.01,665.0,629.97,638.88,83955
2022,2,27,630.01,665.0,629.97,638.88,83955
2022,2,28,638.0,646.0,611.02,645.98,69747
