YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2022,1,1,767.0,767.0,754.01,759.84,236470
2022,1,2,767.0,767.0,754.01,759.84,236470
2022,1,3,754.0,781.0,754.0,776.54,66997
2022,1,4,778.0,798.0,776.54,796.41,133932
2022,1,5,798.0,798.0,785.0,788.97,12118
2022,1,6,780.0,797.0,772.9,786.71,41296
2022,1,7,787.0,815.0,785.0,806.55,143992
2022,1,8,787.0,815.0,785.0,806.55,143992
2022,1,9,787.0,815.0,785.0,806.55,143992
2022,1,10,804.5,816.0,800.0,809.78,72278
2022,1,11,809.5,809.5,780.05,785.77,139655
2022,1,12,787.0,793.0,775.18,783.28,107168
2022,1,13,784.0,786.0,776.0,777.13,47618
2022,1,14,786.99,784.0,775.0,779.97,54115
2022,1,15,786.99,784.0,775.0,779.97,54115
2022,1,16,786.99,784.0,775.0,779.97,54115
2022,1,17,779.9,783.0,770.0,780.05,120017
2022,1,18,778.5,783.99,772.0,775.13,171329
2022,1,19,775.0,780.0,769.0,774.76,436285
2022,1,20,770.0,774.5,759.97,770.27,204793
2022,1,21,770.05,785.0,770.05,779.6,42994
2022,1,22,770.05,785.0,770.05,779.6,42994
2022,1,23,770.05,785.0,770.05,779.6,42994
2022,1,24,780.0,795.0,765.01,770.86,58150
2022,1,25,775.75,775.75,746.5,750.26,720379
2022,1,26,754.99,754.99,739.39,744.0,172545
2022,1,27,749.3,749.3,742.5,743.95,52698
2022,1,28,745.0,745.0,735.0,735.84,49697
2022,1,29,745.0,745.0,735.0,735.84,49697
2022,1,30,745.0,745.0,735.0,735.84,49697
2022,1,31,739.0,743.0,733.0,737.14,45201
