YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2020,10,1,276.5,276.5,256.5,271.3,218000
2020,10,2,272.0,279.0,261.55,264.22,179800
2020,10,3,272.0,279.0,261.55,264.22,179800
2020,10,4,272.0,279.0,261.55,264.22,179800
2020,10,5,256.7,262.5,254.57,259.14,177300
2020,10,6,259.15,265.0,253.0,260.75,349100
2020,10,7,262.01,280.3,260.01,276.22,410000
2020,10,8,277.0,292.87,276.26,282.73,398700
2020,10,9,285.0,290.0,275.0,284.1,87200
2020,10,10,285.0,290.0,275.0,284.1,87200
2020,10,11,285.0,290.0,275.0,284.1,87200
2020,10,12,283.0,287.0,282.51,283.15,132100
2020,10,13,283.11,288.0,276.0,278.32,92800
2020,10,14,280.0,282.0,276.0,278.87,57300
2020,10,15,280.16,287.5,278.17,279.88,78300
2020,10,16,279.0,279.0,271.0,275.51,35000
2020,10,17,279.0,279.0,271.0,275.51,35000
2020,10,18,279.0,279.0,271.0,275.51,35000
2020,10,19,279.0,284.9,275.05,277.47,71800
2020,10,20,278.1,283.0,277.47,281.23,61500
2020,10,21,283.0,301.88,281.52,296.7,274100
2020,10,22,296.0,299.98,288.01,291.95,189400
2020,10,23,291.0,291.7,285.0,289.58,101800
2020,10,24,291.0,291.7,285.0,289.58,101800
2020,10,25,291.0,291.7,285.0,289.58,101800
2020,10,26,289.97,311.29,289.97,306.09,296900
2020,10,27,304.27,315.0,304.25,309.06,143600
2020,10,28,304.0,318.0,297.1,306.21,219400
2020,10,29,298.1,304.5,289.2,300.6,199700
2020,10,30,298.1,304.5,289.2,300.6,199700
2020,10,31,298.1,304.5,289.2,300.6,199700
