YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2020,9,1,221.0,227.45,218.0,224.5,92000
2020,9,2,225.0,235.98,223.0,229.52,306900
2020,9,3,235.0,246.73,235.0,246.73,540300
2020,9,4,250.0,265.23,250.0,265.23,1775400
2020,9,7,270.0,285.12,270.0,285.12,734400
2020,9,8,306.5,306.5,299.99,306.5,1781900
2020,9,9,306.5,322.0,293.01,308.49,977000
2020,9,10,313.99,316.99,300.0,301.05,259800
2020,9,11,304.0,310.0,283.5,297.51,260500
2020,9,14,301.0,302.97,291.34,292.53,88400
2020,9,15,293.99,299.9,288.0,289.01,99100
2020,9,16,289.0,298.5,288.0,295.83,94400
2020,9,17,299.9,299.9,295.0,296.18,101900
2020,9,18,296.5,312.89,296.05,301.63,400600
2020,9,21,301.1,303.85,296.0,299.06,80400
2020,9,22,299.0,299.0,290.0,297.11,137400
2020,9,23,292.01,298.2,292.01,295.18,99200
2020,9,24,295.01,300.5,289.0,299.48,197000
2020,9,25,296.07,312.0,296.07,299.96,162800
2020,9,28,297.0,301.0,288.0,290.03,153000
2020,9,29,290.02,291.98,277.12,283.37,372400
2020,9,30,280.75,283.44,270.0,272.04,103500
