YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2023,1,2,485.0,485.0,476.11,479.41,184508
2023,1,3,484.95,485.0,478.75,482.76,208569
2023,1,4,484.5,487.5,481.0,482.63,114409
2023,1,5,483.5,490.5,482.5,488.79,225989
2023,1,6,492.85,500.16,488.01,496.83,630424
2023,1,9,496.8,500.49,489.0,491.16,209418
2023,1,10,495.11,507.0,491.0,498.67,409589
2023,1,11,502.0,502.9,495.0,496.85,473189
2023,1,12,499.85,511.0,495.03,497.8,736603
2023,1,13,496.0,499.95,486.0,494.63,332388
2023,1,16,497.98,497.99,484.5,487.51,250608
2023,1,17,490.89,491.0,451.62,458.04,1039177
2023,1,18,458.2,484.0,458.2,480.73,499573
2023,1,19,481.99,488.0,479.0,480.29,446402
2023,1,20,479.0,484.0,473.0,477.6,256925
2023,1,23,480.5,482.9,475.0,478.81,79845
2023,1,24,478.81,483.85,470.2,475.83,260335
2023,1,25,480.0,484.9,469.0,473.08,861650
2023,1,26,473.68,480.5,471.0,474.06,934245
2023,1,27,477.0,477.94,459.01,461.96,1062121
2023,1,30,463.0,464.05,451.01,452.13,350886
2023,1,31,458.0,462.95,453.0,458.02,688756
