YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2023,4,3,464.99,470.0,461.0,466.72,103617
2023,4,4,466.01,467.0,465.0,465.65,57728
2023,4,5,468.98,469.0,465.0,467.08,100701
2023,4,6,468.9,473.02,467.5,472.06,110205
2023,4,7,475.25,475.25,468.1,469.17,59903
2023,4,10,469.96,469.96,463.01,463.78,30130
2023,4,11,465.0,466.4,464.0,465.95,38760
2023,4,12,467.1,484.99,467.1,483.04,416645
2023,4,13,487.0,490.0,482.0,482.89,226131
2023,4,17,486.0,487.0,478.0,478.33,121171
2023,4,18,480.0,482.0,475.0,480.35,178608
2023,4,19,461.0,466.5,449.0,463.42,942217
2023,4,20,462.0,463.99,457.35,462.46,258739
2023,4,26,461.0,470.0,459.0,461.82,451019
2023,4,27,462.0,466.7,462.0,465.65,462347
2023,4,28,469.9,470.0,444.0,454.92,2027881
