YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2023,7,3,432.98,433.58,416.0,433.28,673695
2023,7,4,436.12,447.75,425.5,443.97,1478311
2023,7,5,443.0,458.25,442.1,456.13,1163315
2023,7,6,456.0,459.01,448.25,453.73,363797
2023,7,7,449.01,462.0,449.01,457.69,807792
2023,7,10,459.0,461.0,455.02,457.17,222608
2023,7,11,458.05,461.48,453.0,456.52,338683
2023,7,12,456.5,459.5,454.0,457.2,272012
2023,7,13,465.0,465.0,444.0,445.38,416242
2023,7,14,442.24,448.9,441.0,442.1,81274
2023,7,17,440.0,440.0,429.96,432.79,452189
2023,7,18,432.98,435.5,426.0,430.52,245942
2023,7,19,430.55,438.25,426.05,428.71,376754
2023,7,20,426.1,434.99,426.1,432.86,180936
2023,7,21,436.6,446.5,434.1,439.72,376929
2023,7,24,440.16,445.97,436.0,438.1,149266
2023,7,25,441.0,447.5,438.0,441.22,287375
2023,7,26,443.0,449.9,442.0,442.98,212845
2023,7,27,440.0,445.99,435.16,437.52,242934
2023,7,31,438.0,445.6,438.0,444.42,284852
