YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2023,11,1,418.0,423.0,415.0,419.45,322176
2023,11,2,420.97,424.95,416.0,417.36,346658
2023,11,3,422.0,422.0,417.0,420.73,432522
2023,11,6,423.0,424.0,417.8,418.25,1138332
2023,11,7,417.16,425.0,417.16,420.17,703290
2023,11,8,417.17,424.75,417.17,421.29,495857
2023,11,10,421.3,430.25,420.0,422.98,638750
2023,11,13,425.0,428.4,423.0,425.22,549467
2023,11,14,425.93,438.7,425.0,435.38,1071785
2023,11,15,438.49,441.99,433.0,435.27,561410
2023,11,16,437.0,441.0,434.6,438.33,393858
2023,11,17,440.0,449.99,440.0,443.34,478955
2023,11,20,445.0,445.0,437.21,437.97,271103
2023,11,21,440.0,445.0,438.03,439.49,565852
2023,11,22,438.5,442.2,437.2,440.3,334282
2023,11,23,443.0,464.7,443.0,461.12,1409937
2023,11,24,465.0,482.0,465.0,468.89,1028170
2023,11,27,474.8,474.8,460.0,462.56,380200
2023,11,28,462.75,468.0,450.5,455.78,454057
2023,11,29,458.8,463.5,451.02,457.29,578406
2023,11,30,458.0,463.0,453.91,460.72,235335
