YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2024,5,2,390.0,390.01,377.11,379.48,410013
2024,5,3,379.89,382.55,377.0,381.64,270163
2024,5,6,382.0,385.0,379.03,379.82,274829
2024,5,7,382.8,385.3,379.5,380.47,377478
2024,5,8,382.94,384.97,380.12,382.21,169739
2024,5,9,383.0,390.9,382.05,389.02,203844
2024,5,10,390.9,390.9,385.0,388.44,139032
2024,5,13,388.45,390.23,385.15,388.77,186002
2024,5,14,388.0,389.7,385.45,388.82,386879
2024,5,15,389.9,395.0,388.0,390.01,185914
2024,5,16,391.3,397.5,389.0,396.19,810157
2024,5,17,397.0,404.48,394.0,398.41,271837
2024,5,20,404.0,416.3,401.2,407.59,1249130
2024,5,21,406.0,412.45,406.0,411.06,409440
2024,5,22,412.0,429.85,411.5,424.77,2694847
2024,5,23,427.0,429.75,421.0,423.75,527404
2024,5,24,423.75,427.5,422.2,425.88,489452
2024,5,27,423.0,435.15,423.0,430.75,624222
2024,5,29,432.79,432.99,422.0,427.54,544111
2024,5,30,426.02,428.0,424.0,427.12,343182
2024,5,31,427.7,461.29,427.7,457.98,3195145
