YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2023,2,1,460.01,463.0,455.0,455.97,217983
2023,2,2,453.5,464.9,453.5,461.82,433983
2023,2,3,465.65,469.0,450.0,455.06,793417
2023,2,6,458.99,460.0,454.5,457.64,586180
2023,2,7,458.75,488.1,456.05,482.91,1770068
2023,2,8,485.5,498.0,485.5,493.43,686338
2023,2,9,496.99,500.0,485.75,488.77,802134
2023,2,10,487.1,489.0,480.0,485.58,682907
2023,2,13,481.01,487.99,470.71,472.39,309789
2023,2,14,476.9,476.9,460.21,461.55,480563
2023,2,15,459.0,476.0,458.5,473.22,456048
2023,2,16,475.1,483.4,472.0,474.05,538151
2023,2,17,476.99,483.5,470.0,479.88,345703
2023,2,20,482.0,495.0,481.1,487.35,742849
2023,2,21,489.5,499.5,485.1,496.3,626151
2023,2,22,499.0,504.5,496.0,497.6,528514
2023,2,23,496.0,496.9,487.0,493.25,337554
2023,2,24,494.0,495.5,489.04,494.19,226807
2023,2,27,492.8,499.0,490.0,493.72,159271
2023,2,28,490.05,499.74,475.9,479.48,612324
